ENTRY ,AEL VRH bulk modulus ,AEL elastic anisotropy ,AEL Poisson ratio ,AEL VRH shear modulus ,space group ,Pearson symbol ,DATA
Ag10S8Sb2 [d3aa24a7307877b5],35.2376,0.440193,0.350433,11.7082,36 - Cmc21,oS40,"[API, Out, JSON ]"
Ag1Al1S2 [e81fdf58728bbeef],71.6539,1.12537,0.302537,32.5879,156 - P3m1,hP4,"[API, Out, JSON ]"
Ag1C2K1 [30b4ea4c8457fd17],27.2627,21.3408,0.289897,13.3219,123 - P4/mmm,tP4,"[API, Out, JSON ]"
Ag1C2Li1 [4038910d534b860e],36.3669,21.7008,0.29722,17.0545,187 - P6m2,hP4,"[API, Out, JSON ]"
Ag1In5Se8 [59aa7f06d2a88d1a],24.7673,1.48744,0.274498,13.1466,111 - P42m,tP14,"[API, Out, JSON ]"
Ag1In5Te8 [03ae9fb0ad91fcf6],21.8088,1.02738,0.269902,11.8548,111 - P42m,tP14,"[API, Out, JSON ]"
Ag1P1Pd5 [92282260eb315f3d],143.289,1.03848,0.371427,40.3004,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Ag1P1Pt5 [c617361aadf1a089],194.622,1.82752,0.394279,44.2714,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Ag1Pt5Si1 [c6eee5e705fb3446],198.197,0.82988,0.375066,54.0228,123 - P4/mmm,tP7,"[API, Out, JSON ]"
Ag2Al2O4 [6c2aa8cffae6bd98],144.441,12.497,0.346996,49.2211,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ag2Al2Se4 [877eb327e670859d],49.6298,0.799465,0.341038,17.6489,122 - I42d,tI16,"[API, Out, JSON ]"
Ag2As2Ba2 [c78a80a4276e8729],43.5877,0.219957,0.233015,28.3141,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2As2Sr2 [cbd0cb3bc230996a],47.7358,0.346979,0.237302,30.4051,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Au2F8 [9ee5b4685cffe258],37.0529,0.165308,0.351409,12.2222,140 - I4/mcm,tI24,"[API, Out, JSON ]"
Ag2Ba2P2 [6526b6bd6018f3c0],47.988,0.156331,0.233985,31.0349,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Bi2Ca2 [d71d07cdd5ecf61b],39.2021,0.517188,0.289265,19.2232,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Ag2Bi2Ca2 [d145209fb6e7e5ee],42.1045,0.286933,0.284967,21.138,186 - P63mc,hP6,"[API, Out, JSON ]"
